Trial,Rule,Result,Probability,PC1,PC2,PC3,Site,Excluded
42,9,Reef,0.7939999999999999,'-0.245 < x <= -0.215,'<= 0.24,"",L,"A, B, C, D, E, F, G, H, I, J, K"
42,10,Reef,0.744,'0.395 < x <= 0.456,'<= 0.137,"",L,"A, B, C, D, E, F, G, H, I, J, K"
42,11,Reef,0.724,'<= -0.334,"",'<= 0.032,"A, E, F, H, I, J, K, L","B, C, D, G"
42,12,Reef,0.706,'<= 0.985,"",'> -0.024,C,"A, B, D, E, F, G, H, I, J, K, L"
42,13,Reef,0.705,'2.151 < x <= 2.316,'<= 0.23,'> -0.037,"A, B, C, D, F, G, H, J, K, L","E, I"
42,14,Reef,0.697,'<= 0.985,'<= 0.552,'<= -0.135,"A, B, C, D, E, F, H, I, J, K, L",G
42,15,Reef,0.697,'<= 2.524,'> -0.53,"",E,"A, B, C, D, F, G, H, I, J, K, L"
42,16,Reef,0.693,'<= 0.985,'> 0.24,"","A, B, D, E, F, H, I, J, K, L","C, G"
42,17,Reef,0.6859999999999999,'0.985 < x <= 2.524,'<= 0.33,'-0.037 < x <= 0.001,"A, C, F, G, H, J, L","B, D, E, I, K"
42,18,Reef,0.6769999999999999,'<= 0.985,'0.24 < x <= 0.248,'> -0.135,G,"A, B, C, D, E, F, H, I, J, K, L"
42,19,Reef,0.6739999999999999,'-0.254 < x <= 0.985,'-2.237 < x <= 0.222,'-0.135 < x <= 0.03,"A, F, G, H, I","B, C, D, E, J, K, L"
42,20,Reef,0.6629999999999999,'<= 0.985,'> 0.096,'> -0.004,J,"A, B, C, D, E, F, G, H, I, K, L"
42,21,Reef,0.6619999999999999,'<= -0.334,'> -0.656,'> 0.036,"C, E, F, H, I, J, K, L","A, B, D, G"
42,22,Reef,0.6619999999999999,'0.985 < x <= 2.982,'> 0.47,"","A, B, D, E, F, G, H, I, J, K, L",C
42,23,Reef,0.656,'-1.966 < x <= -1.363,'<= 0.232,"",G,"A, B, C, D, E, F, H, I, J, K, L"
42,24,Reef,0.644,'<= -0.714,"","",C,"A, B, D, E, F, G, H, I, J, K, L"
42,25,Reef,0.631,'0.985 < x <= 2.316,'<= 0.23,'-0.037 < x <= 0.076,"A, C, F, G, H, J, L","B, D, E, I, K"
42,26,Reef,0.616,'<= 2.524,'<= 0.33,'<= -0.148,"A, C, D, F, G, H, I, J, K, L","B, E"
42,27,Reef,0.613,'0.985 < x <= 2.524,'> 0.33,'<= 0.009,"A, E, F, G, H, I, J, K, L","B, C, D"
42,28,Reef,0.607,'-0.254 < x <= 0.985,'-0.45 < x <= 0.222,'<= 0.226,"A, E, F, G, H, I","B, C, D, J, K, L"
42,29,Reef,0.514,'<= 0.985,"","",Any,None
43,1,Sand,0.914,"",'<= 0.176,"",B,"A, C, D, E, F, G, H, I, J, K, L"
43,2,Sand,0.893,'<= -0.061,'0.186 < x <= 0.201,"",G,"A, B, C, D, E, F, H, I, J, K, L"
43,3,Sand,0.8550000000000001,'<= -0.061,'<= 0.176,'> -0.132,D,"A, B, C, E, F, G, H, I, J, K, L"
43,4,Sand,0.716,'-2.293 < x <= -1.783,'<= 0.038,'> 0.08,"A, B, C, D, F, H, I, J, K","E, G, L"
43,5,Sand,0.6639999999999999,'-2.293 < x <= -0.061,'0.157 < x <= 0.176,'> -0.132,Any,None
43,6,Sand,0.6599999999999999,'-0.513 < x <= -0.061,'<= 0.038,'> 0.08,"A, B, C, D, F, G, H, I, J, K","E, L"
43,7,Sand,0.639,'> 1.057,'<= 0.417,'-0.207 < x <= -0.04,"A, B, C, D, E, F, G, H, J, L","I, K"
43,8,Sand,0.633,'<= 1.057,'<= -1.381,'-0.207 < x <= 0.03,"A, B, C, D, E, F, G, I, J, K, L",H
43,9,Sand,0.623,'> -2.293,'<= 0.139,"",L,"A, B, C, D, E, F, G, H, I, J, K"
43,10,Sand,0.594,"",'<= 0.524,'> -0.132,C,"A, B, D, E, F, G, H, I, J, K, L"
43,11,Sand,0.562,'> -0.061,"","",Any,None
43,12,Reef,0.8760000000000001,'0.015 < x <= 2.158,'-0.209 < x <= -0.187,"","A, B, C, D, E, F, G, H, J, K, L",I
43,13,Reef,0.8500000000000001,'<= -2.293,'<= 0.176,"","A, B, C, E, F, G, H, I, J, K, L",D
43,14,Reef,0.749,'0.884 < x <= 1.057,'> 0.021,'<= 0.03,"A, E, F, G, H, I, K, L","B, C, D, J"
43,15,Reef,0.738,'<= -0.061,'> 0.176,"","A, B, D, E, F, H, I, J, K, L","C, G"
43,16,Reef,0.726,'0.015 < x <= 0.132,"",'> 0.03,"A, E, F, G, H","B, C, D, I, J, K, L"
43,17,Reef,0.721,'<= -0.061,"",'<= -0.132,Any,None
43,18,Reef,0.718,"",'> 0.349,"",D,"A, B, C, E, F, G, H, I, J, K, L"
43,19,Reef,0.714,'<= -0.061,'0.176 < x <= 0.186,"",G,"A, B, C, D, E, F, H, I, J, K, L"
43,20,Reef,0.6799999999999999,'<= -0.061,'0.139 < x <= 0.157,"","A, C, E, F, G, H, I, J, K, L","B, D"
43,21,Reef,0.6739999999999999,'<= 1.057,'> -1.381,'-0.207 < x <= 0.03,"A, E, F, H, I, L","B, C, D, G, J, K"
43,22,Reef,0.6689999999999999,'<= -0.061,"",'<= 0.08,"A, F, H, I, J, K","B, C, D, E, G, L"
43,23,Reef,0.646,'<= 2.158,'> 0.417,"",Any,None
43,24,Reef,0.64,"",'> -1.23,'<= -0.207,Any,None
43,25,Reef,0.627,'> -0.061,'> 0.033,"",K,"A, B, C, D, E, F, G, H, I, J, L"
43,26,Reef,0.625,'-0.061 < x <= 1.057,'0.27 < x <= 0.417,"","A, E, F, G, H, I, J, K, L","B, C, D"
43,27,Reef,0.599,'<= -0.061,'> 0.201,"","A, B, D, E, F, G, H, I, J, K, L",C
